2026-03-28 20:22:02,449 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: launch_app | RESULT: Success
2026-03-28 20:22:02,609 - [INFO] - ACTION: Launch App | DETAIL: Opening browser to http://192.168.33.22:8000 via Wi-Fi | RESULT: Success
2026-03-28 20:22:03,597 - [INFO] - ACTION: Fetch Tasks | DETAIL: Retrieved 51 events from Moodle | RESULT: Success
2026-03-28 20:23:05,480 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: refresh | RESULT: Success
2026-03-28 20:23:05,543 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sending refresh to 0 displays | RESULT: Failed (No displays connected)
2026-03-28 20:23:05,543 - [INFO] - ACTION: Refresh | DETAIL: Sent refresh command to all displays | RESULT: Success
2026-03-28 20:23:06,394 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: refresh | RESULT: Success
2026-03-28 20:23:06,469 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sending refresh to 0 displays | RESULT: Failed (No displays connected)
2026-03-28 20:23:06,469 - [INFO] - ACTION: Refresh | DETAIL: Sent refresh command to all displays | RESULT: Success
2026-03-28 20:23:06,561 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: refresh | RESULT: Success
2026-03-28 20:23:06,570 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sending refresh to 0 displays | RESULT: Failed (No displays connected)
2026-03-28 20:23:06,570 - [INFO] - ACTION: Refresh | DETAIL: Sent refresh command to all displays | RESULT: Success
2026-03-28 20:23:06,727 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: refresh | RESULT: Success
2026-03-28 20:23:06,769 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sending refresh to 0 displays | RESULT: Failed (No displays connected)
2026-03-28 20:23:06,769 - [INFO] - ACTION: Refresh | DETAIL: Sent refresh command to all displays | RESULT: Success
2026-03-28 20:23:06,876 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: refresh | RESULT: Success
2026-03-28 20:23:06,882 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sending refresh to 0 displays | RESULT: Failed (No displays connected)
2026-03-28 20:23:06,882 - [INFO] - ACTION: Refresh | DETAIL: Sent refresh command to all displays | RESULT: Success
2026-03-28 20:23:09,826 - [INFO] - ACTION: Fetch Tasks | DETAIL: Retrieved 51 events from Moodle | RESULT: Success
2026-03-28 20:24:25,235 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:24:25,246 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sending toggle_theme to 0 displays | RESULT: Failed (No displays connected)
2026-03-28 20:24:25,246 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:24:47,081 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:24:47,090 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sent toggle_theme to 3/3 clients | RESULT: Success
